question	answer	source
Thủ tục mượn tài liệu đọc tại chỗ được thực hiện như thế nào?	<div><div><h2>Thủ tục mượn tài liệu về nhà</h2> <ul><li>B1: Tra cứu và chọn tài liệu trong kho</li> <li>B2: Đăng ký mượn tài liệu tại trạm mượn sách tự động (Tầng 1)</li> <li>B3: Trả tài liệu sau khi sử dụng xong tại trạm trả sách tự động (Tầng trệt)</li> </ul></div></div>	https://lib.tdtu.edu.vn/dich-vu/tham-khao/faq-luu-hanh-tai-lieu
Thủ tục mượn tài liệu môn học được thực hiện như thế nào?	<div><div><h2>Thủ tục mượn tài liệu đọc tại chỗ</h2> <ul><li>B1: Tra cứu và chọn tài liệu trong kho</li> <li>B2: Sử dụng tài liệu</li> <li>B3: Trả tài liệu sau khi sử dụng xong tại "Xe trả tài liệu"</li> </ul></div></div>	https://lib.tdtu.edu.vn/dich-vu/tham-khao/faq-luu-hanh-tai-lieu
Gia hạn tài liệu trực tuyến được thực hiện như thế nào?	<div><div><h5>Tài liệu môn học dạng giấy</h5> <ul type="square"><li>B1: Truy cập vào website Thư viện và đăng nhập bằng&nbsp;tài khoản cổng thông tin TDTU</li> <li>B2: Chọn mục "Tài liệu môn học"&nbsp;</li> <li>B3: Tra cứu theo mã môn học/tên môn học/tên giảng viên/tên tài liệu</li> <li>B4:&nbsp;Chọn tài liệu trong kho và làm thủ tục mượn tại Quầy Thông tin, Lầu 4</li> <li>B5: Trả tài liệu sau khi sử dụng xong tại Quầy Thông tin, Lầu 4</li> </ul><h5>Tài liệu môn học dạng số/điện tử</h5> <ul type="square"><li>B1: Chọn mục "Tài liệu môn học" trên Cổng Thông tin thư viện</li> <li>B2: Đăng nhập (Tên đăng nhập/Mật khẩu)</li> <li>B3: Tra cứu theo mã môn học/tên môn học/tên giảng viên/tên tài liệu</li> <li>B4: Chọn tài liệu cần xem</li> <li>B5: Sử dụng&nbsp;tài liệu dưới 02 hình thức&nbsp; <ul><li>Xem toàn văn</li> <li>Tải tài liệu</li> </ul></li> </ul></div></div>	https://lib.tdtu.edu.vn/dich-vu/tham-khao/faq-luu-hanh-tai-lieu
Đặt trước tài liệu trực tuyến được thực hiện như thế nào?	<div><div><p><strong>Hướng dẫn Gia hạn trực tuyến</strong></p> <ul><li><strong>B.1:</strong> Chọn mục Gia hạn tài liệu&nbsp;tại Cổng thông tin Thư viện</li> <li><strong>B.2:</strong>&nbsp;Đăng nhập&nbsp;(Tên đăng nhập/Mật khẩu)</li> <li><strong>B.3:</strong>&nbsp;Để gia hạn tất cả tài liệu, chọn "Gia hạn tất cả" ; gia hạn từng tài liệu, đánh dấu vào ô trống trước mỗi tài liệu, sau đó chọn "Gia hạn tài liệu lựa chọn"</li> <li><strong>B.4:</strong> Xem hạn trả mới sau khi gia hạn thành công</li> </ul><p><strong>Lưu ý</strong></p> <p>Gia hạn không thành công đối với các trường hợp sau</p> <ul><li>Tài liệu bị trễ hạn</li> <li>Tài liệu đang có người chờ mượn</li> </ul><p><a href="/sites/tdt_lib/files/uploads/library-pages/file-attached/huong%20dan%20gia%20han%20tai%20lieu.pdf"><em><u>Tài liệu hướng dẫn</u></em></a></p></div></div>	https://lib.tdtu.edu.vn/dich-vu/tham-khao/faq-luu-hanh-tai-lieu
Thư viện có cung cấp Wifi không? Mật khẩu truy cập Wifi là gì?	<div><div><p>Mạng wifi được phủ khắp toàn nhà Thư viện.</p> <p>Để truy cập vào Wifi, người dùng cần sử dụng tài khoản hệ thống thông tin TDTU để đăng nhập.</p> </div></div>	https://lib.tdtu.edu.vn/dich-vu/tham-khao/faq-su-dung-may-tinh
Thủ tục mượn máy tính của thư viện được thực hiện như thế nào?	<div class="views-accordion-header js-views-accordion-header-47dc4f61cf4ae205429715b247979d5334198c342a05665d6a163965ab0e98bc ui-accordion-header ui-corner-top ui-accordion-header-collapsed ui-corner-all ui-state-default" role="tab" id="ui-id-3" aria-controls="ui-id-4" aria-selected="false" aria-expanded="false" tabindex="-1"><div><p>Thủ tục mượn máy tính của thư viện được thực hiện như thế nào?</p></div></div><div class="ui-accordion-content ui-corner-bottom ui-helper-reset ui-widget-content" id="ui-id-4" aria-labelledby="ui-id-3" role="tabpanel" aria-hidden="true" style="display: none;"><div><div><p><strong>Thủ tục mượn máy tính</strong></p> <ul><li>Tìm máy tính theo đúng nhu cầu</li> <li>Xem hiện trạng máy tính: rỗi/bận</li> <li>Đăng nhập tài khoản sử dụng</li> <li>Đăng xuất khi kết thúc phiên sử dụng</li> </ul></div></div></div>	https://lib.tdtu.edu.vn/dich-vu/tham-khao/faq-su-dung-may-tinh
Mỗi lượt mượn máy tính tôi được sử dụng trong bao lâu?	<div><div><p><strong>Thủ tục mượn máy tính</strong></p> <ul><li>Tìm máy tính theo đúng nhu cầu</li> <li>Xem hiện trạng máy tính: rỗi/bận</li> <li>Đăng nhập tài khoản sử dụng</li> <li>Đăng xuất khi kết thúc phiên sử dụng</li> </ul></div></div>	https://lib.tdtu.edu.vn/dich-vu/tham-khao/faq-su-dung-may-tinh
Khi hết thời gian sử dụng máy tính theo quy định, tôi có thể xin gia hạn thêm thời gian không?	<div><div><p>Qui định về thời gian sử dụng máy tính thư viện: 120 phút/lượt</p></div></div>	https://lib.tdtu.edu.vn/dich-vu/tham-khao/faq-su-dung-may-tinh
Máy tính tự đăng xuất khỏi tài khoản do hết thời gian sử dụng, nhưng tôi chưa kịp lưu bài, tôi phải làm gì?	<div><div><p>Người sử dụng được phép gia hạn thời gian sử dụng máy tính khi không có người chờ mượn</p> </div></div>	https://lib.tdtu.edu.vn/dich-vu/tham-khao/faq-su-dung-may-tinh
Tài khoản đăng nhập sử dụng máy tính của tôi là gì?	<div><div><p>Khi xảy ra trường hợp này, người sử dụng vui lòng liên hệ Quầy Thông tin tại tầng bạn đang sử dụng máy tính để được hỗ trợ.</p></div></div>	https://lib.tdtu.edu.vn/dich-vu/tham-khao/faq-su-dung-may-tinh
Tôi muốn mượn headphone thì liên lạc với ai? Thủ tục như thế nào?	<div><div><p>Tài khoản sử dụng máy tính của người sử dụng:</p> <p>+ Giảng viên, viên chức: Tài khoản Cổng thông tin giảng viên, viên chức</p> <p>+ Sinh viên, học viên sau đại học: Tài khoản Cổng thông tin sinh viên</p> </div></div>	https://lib.tdtu.edu.vn/dich-vu/tham-khao/faq-su-dung-may-tinh
Có được cài đặt phần mềm theo nhu cầu cá nhân khi sử dụng máy tính thư viện không?	<div><div><p>Thư viện không cho mượn headphone riêng. Thư viện trang bị sẵn headphone cho máy tính tại Lầu 2&nbsp;và lầu 3.  Lưu ý: Sau khi sử dụng headphone, bạn đọc vui lòng sắp xếp gọn gàng về vị trí ban đầu.</p> </div></div>	https://lib.tdtu.edu.vn/dich-vu/tham-khao/faq-su-dung-may-tinh
Có thể sử dụng máy tính để chơi game giải trí không?	<div><div><p>Không. Người sử dụng có nhu cầu cài đặt phần mềm phục vụ mục đích học tập, vui lòng liên hệ Quầy Thông tin tại Lầu đang sử dụng máy tính.</p></div></div>	https://lib.tdtu.edu.vn/dich-vu/tham-khao/faq-su-dung-may-tinh
Khi có thắc mắc liên quan đến dịch vụ sử dụng máy tính thư viện, tôi cần liên hệ với ai? Ở đâu?	<div><div><p>Không. Máy tính thư viện được sử dụng cho mục đích học tập, giảng dạy và nghiên cứu. Khi máy tính đang có nhu cầu sử dụng cao, các hoạt động như trò chuyện cá nhân, facebook, chơi games và các ứng dụng giải trí khác không được khuyến khích.</p></div></div>	https://lib.tdtu.edu.vn/dich-vu/tham-khao/faq-su-dung-may-tinh
Thủ tục đăng ký mượn phòng tại Thư viện được thực hiện như thế  nào?	<div><div><p><strong>Thủ tục đăng ký mượn phòng:</strong></p> <p><strong>B1.</strong> Vào mục 'Đặt phòng" từ Cổng thông tin thư viện</p> <p><strong>B2. </strong>Đăng nhập bằng tài khoản Cổng Thông tin sinh viên/giảng viên, viên chức.</p> <p><strong>B3.</strong> Chọn và đặt phòng theo yêu cầu</p> <p><strong>B4. </strong>Điền đầy đủ thông tin vào form yêu cầu</p> <p><strong>B5</strong>. Xem kết quả đặt phòng sau 10 phút</p> <p><strong>B6</strong>. Đến trực tiếp phòng đã đăng ký và thực hiện các thủ tục:</p> <ul><li>Quét thẻ tại thiết bị Access Control để ghi nhận bắt đầu sử dụng phòng/khu vực</li> <li>Sử dụng phòng đúng quy định</li> </ul><p><strong>B7. </strong>Liên hệ chuyên viên thư viện tại tầng đang sử dụng phòng để kết thúc phiên sử dụng.</p> <p><a href="https://www.youtube.com/watch?v=k1hb3oOTPzg&amp;feature=youtu.be">Xem video hướng dẫn đặt phòng</a></p> </div></div>	https://lib.tdtu.edu.vn/dich-vu/tham-khao/faq-dat-muon-su-dung-phong
Để hủy kết quả đăng ký mượn phòng tại Thư viện, tôi phải làm gì?	<div class="views-accordion-header js-views-accordion-header-eaf80492a42aeb6a6d431752c9b86a08f2403b34db97c58ec6f900fc3ae0cb16 ui-accordion-header ui-corner-top ui-accordion-header-collapsed ui-corner-all ui-state-default" role="tab" id="ui-id-3" aria-controls="ui-id-4" aria-selected="false" aria-expanded="false" tabindex="-1"><div><p>Để hủy kết quả đăng ký mượn phòng tại Thư viện, tôi phải làm gì?</p></div></div><div class="ui-accordion-content ui-corner-bottom ui-helper-reset ui-widget-content" id="ui-id-4" aria-labelledby="ui-id-3" role="tabpanel" aria-hidden="true" style="display: none;"><div><div><p>Người sử dụng có thể&nbsp;thông báo cho cán bộ phụ trách dịch vụ "Cung cấp không gian &amp; tiện ích" tại các tầng&nbsp;thông qua email hoặc điện thoại.&nbsp;</p></div></div></div>	https://lib.tdtu.edu.vn/dich-vu/tham-khao/faq-dat-muon-su-dung-phong
Mỗi lượt đăng ký sử dụng dịch vụ cung cấp phòng/khu vực của Thư viện, tôi được sử dụng trong bao lâu?	<div><div><p>Người sử dụng có thể&nbsp;thông báo cho cán bộ phụ trách dịch vụ "Cung cấp không gian &amp; tiện ích" tại các tầng&nbsp;thông qua email hoặc điện thoại.&nbsp;</p></div></div>	https://lib.tdtu.edu.vn/dich-vu/tham-khao/faq-dat-muon-su-dung-phong
Khi hết thời gian sử dụng phòng/khu vực đăng ký theo quy định, tôi có được gia hạn thêm thời gian không?	<div><div><p><strong>Quy định về thời gian sử dụng các phòng/khu vực của Thư viện</strong>:</p> <ul><li>Phòng học nhóm: 02 giờ/lượt</li> <li>Phòng thuyết trình, khu vực học nhóm, phòng xem phim: 02 giờ/lượt</li> <li>Phòng nghiên cứu cá nhân, phòng studio, phòng hội thảo trực tuyến,&nbsp;khu vực học qua đêm: đăng ký thời gian sử dụng theo nhu cầu</li> </ul></div></div>	https://lib.tdtu.edu.vn/dich-vu/tham-khao/faq-dat-muon-su-dung-phong
Sử dụng phòng/khu vực chức năng do Thư viện cung cấp có tính phí không?	<div><div><p><strong>Quy định về gia hạn thời gian sử dụng các phòng/khu vực của Thư viện</strong></p> <ul><li>Phòng học nhóm, khu vực học nhóm, phòng thuyết trình, phòng xem phim: được phép gia hạn khi không có người chờ mượn</li> <li>Phòng nghiên cứu cá nhân, khu vực học qua đêm: đăng ký thời gian sử dụng theo nhu cầu</li> </ul></div></div>	https://lib.tdtu.edu.vn/dich-vu/tham-khao/faq-dat-muon-su-dung-phong
Khi có thắc mắc trong quá trình sử dụng dịch vụ cung cấp phòng của Thư viện, tôi cần liên hệ với ai? Ở đâu?	<div><div><p>Để xem thông tin về chính sách sử dụng của mỗi phòng/khu vực chức năng do Thư viện cung cấp, người sử dụng vui lòng tham khảo tại đường dẫn sau:</p> <p>Link mô tả chi tiết phòng: <a href="https://reservearoom.tdtu.edu.vn/DatPhong/MoTa/">https://reservearoom.tdtu.edu.vn/DatPhong/MoTa/</a></p> </div></div>	https://lib.tdtu.edu.vn/dich-vu/tham-khao/faq-dat-muon-su-dung-phong
Tôi là tân sinh viên, hiện tôi chưa có thẻ sinh viên chính thức, tôi có đăng kí sử dụng phòng/khu vực chức năng do Thư viện cung cấp được không?	<div><div><p><strong>Trường hợp người sử dụng cần hỗ trợ, tư vấn về đặt phòng, vui lòng liên hệ:</strong></p> <ul><li>Trực tiếp tại Quầy Dịch vụ của tầng đang sử dụng máy tính</li> <li>Email: <a href="mailto:thuvien@tdtu.edu.vn">thuvien@tdtu.edu.vn</a></li> <li>Số điện thoại: (028) 37 755 057</li> <li>Live chat trên website Thư viện</li> </ul></div></div>	https://lib.tdtu.edu.vn/dich-vu/tham-khao/faq-dat-muon-su-dung-phong
Số lượng người dùng cần thiết để đăng ký sử dụng các phòng chức năng được quy định như thế nào?	<div><div><p>Tất cả sinh viên đã tham gia tập huấn đều được cấp quyền sử dụng Thư viện. Khi có nhu cầu sử dụng phòng/khu vực chức năng do Thư viện cung cấp, sinh viên vui lòng làm thủ tục đặt phòng trực tuyến tại website và sử dụng Tài khoản Hệ thống thông tin sinh viên để đăng nhập vào giao diện đặt phòng.</p> <p>Lưu ý: Trong thời gian sinh viên chưa có thẻ sinh viên chính thức (đang sử dụng thẻ tạm bằng giấy), sinh viên vui lòng liên hệ cán bộ thư viện tại Quầy Dịch vụ của tầng có bố trí phòng/khu vực chức năng cần sử dụng để nhận được sự hỗ trợ mở cửa phòng/khu vực chức năng.</p> </div></div>	https://lib.tdtu.edu.vn/dich-vu/tham-khao/faq-dat-muon-su-dung-phong
Mã PUK là gì? Tôi cần liên hệ ở đâu để nhận được mã PUK?	<div><div><p>Mã PUK bao gồm 8 ký tự. Được sử dụng để kích hoạt dịch vụ in ấn tại Thư viện.</p> <p>Liên hệ cán bộ Thư viện tại tầng 1, trong giờ hành chính (từ thứ 2 đến thứ 6)&nbsp;để được hỗ trợ cung cấp mã PUK</p> </div></div>	https://lib.tdtu.edu.vn/dich-vu/tham-khao/faq-in-photocopy-scan
Để sử dụng dịch vụ in ấn/photocopy/scan của Thư viện, tôi cần liên hệ với ai? ở đâu?	<div class="views-accordion-header js-views-accordion-header-fd460479d9d9f8f60b9aa5cde5dfcee45ce4e80e1becbfad10a569638cab0b80 ui-accordion-header ui-corner-top ui-accordion-header-collapsed ui-corner-all ui-state-default" role="tab" id="ui-id-3" aria-controls="ui-id-4" aria-selected="false" aria-expanded="false" tabindex="-1"><div><p>Để sử dụng dịch vụ in ấn/photocopy/scan của Thư viện, tôi cần liên hệ với ai? ở đâu?</p></div></div><div class="ui-accordion-content ui-corner-bottom ui-helper-reset ui-widget-content" id="ui-id-4" aria-labelledby="ui-id-3" role="tabpanel" aria-hidden="true" style="display: none;"><div><div><p>Thư viện bố trí 02 máy in đa chức năng (in ấn/photocopy/scan) tại khu vực in ấn tầng 1 và tầng 4</p> <p>Để biết cách sử dụng máy in đa chức năng tại Trạm in ấn, người dùng vui lòng đọc kỹ hướng dẫn sử dụng được đặt bên trên máy hoặc scan mã QR trên thân máy để xem video hướng dẫn</p></div></div></div>	https://lib.tdtu.edu.vn/dich-vu/tham-khao/faq-in-photocopy-scan
Khi có thắc mắc cần sự hỗ trợ trong quá trình sử dụng dịch vụ in ấn/photocopy/scan, tôi cần liên hệ với ai? Ở đâu?	<div><div><p>Thư viện bố trí 02 máy in đa chức năng (in ấn/photocopy/scan) tại khu vực in ấn tầng 1 và tầng 4</p> <p>Để biết cách sử dụng máy in đa chức năng tại Trạm in ấn, người dùng vui lòng đọc kỹ hướng dẫn sử dụng được đặt bên trên máy hoặc scan mã QR trên thân máy để xem video hướng dẫn</p></div></div>	https://lib.tdtu.edu.vn/dich-vu/tham-khao/faq-in-photocopy-scan
Làm thế nào để tham gia lớp tập huấn sử dụng thư viện?	<div><div><p>Vui lòng xem chi tiết tại <a href="http://lib.tdtu.edu.vn/vi/dich-vu/chi-dan/huong-dan-su-dung-thu-vien-tham-quan-thu-vien"><em>đây</em></a></p> </div></div>	https://lib.tdtu.edu.vn/dich-vu/tham-khao/faq-lop-ky-nang
